case_id,court_type,case_type,document_text,num_words,num_sentences,avg_sentence_length,num_clauses,risk_score,contains_penalty_clause,contains_liability_clause,contains_arbitration_clause,legal_complexity_score,readability_score,tfidf_feature_1,tfidf_feature_2,tfidf_feature_3,named_entities_count,judgement_length,risk_label
CASE_0,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1093,98,14.136950857284045,12,0.4410968392423361,1,0,0,0.5065008749414461,23.08762585440567,0.5378542430141781,0.2316939158280632,0.9455967993973177,12,1675,Low
CASE_1,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1002,45,22.196910678507663,12,0.037465731223400356,1,0,0,0.178010156485506,29.877353580655875,0.07990264786230572,0.18039701110445183,0.1423760106616756,8,4658,Medium
CASE_2,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",878,33,13.874294193384273,43,0.33306589236337436,1,1,0,0.1494560666474758,70.29566139310687,0.3494855548295073,0.5242845461377784,0.8661390995818499,12,681,High
CASE_3,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1937,133,23.251626021804782,19,0.5247069381356353,1,0,1,0.4691940377203575,89.01600020585599,0.06847485628536398,0.9238022316858415,0.3377017214112573,7,3039,Low
CASE_4,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1597,115,23.221329515962307,37,0.9811373316456086,1,0,1,0.565368923545063,26.80436022974807,0.9726864638329792,0.6617889913634907,0.15271689158115676,2,2515,Low
CASE_5,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",722,101,22.11997318276274,16,0.28102458754078585,0,0,1,0.6786550899414809,6.9606682240917035,0.21699743197683508,0.6150412978404772,0.5994810628921968,15,815,High
CASE_6,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",676,77,11.28592332317734,7,0.4668302690296843,1,1,1,0.6142099646369054,21.886846774872982,0.35939112487710256,0.43952743538643013,0.8688965669919729,3,3492,High
CASE_7,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1232,52,24.275403407866484,34,0.018350483565580444,1,0,1,0.3643499423256298,21.851034755371344,0.7289041032625607,0.7089653897498331,0.13758279286457764,3,2620,Medium
CASE_8,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",300,119,19.306326262494345,15,0.5894474921582782,1,1,1,0.24098291484887568,6.143552673400887,0.3596360767319823,0.052206587951544425,0.9621731692526415,16,4498,Low
CASE_9,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",591,61,18.282074475183208,25,0.0014287798355928638,0,1,1,0.7906557223744431,64.2297217154228,0.6485458191150459,0.012410597535341794,0.09472196310866254,3,2097,High
